equipo,areas_cp,unidades_hdd,registros_cp,registros_hdd,explicaciones_por_area,puntuacion_final,categoria,explicacion_detallada,recomendaciones,fecha_ejecucion,posicion_ranking
0,['ioload'],[],8,0,[],100.0,Excelente,"**ioload Excelente (100.0pts)**: El equipo mantiene una carga de 0.8 en ioload, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en ioload Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable.",Mantener estándares actuales,2025-07-14 15:05:19,1
139,[],"['D:', 'avg', 'C:', 'E:', 'A:']",0,40,[],99.19999999999999,Excelente,**Uso HDD Excelente (99.0pts)**: El disco está siendo utilizado eficientemente al 7.4%. | **Estabilidad HDD Excelente (100.0pts)**: El uso del disco es muy estable. | **Cambios HDD Predecibles (98.0pts)**: Los cambios en el uso del disco son muy predecibles.,Mantener estándares actuales,2025-07-14 15:05:19,2
173,[],"['D:', 'C:', 'avg', 'I:', 'H:', 'E:', 'G:']",0,56,[],96.2,Excelente,**Uso HDD Excelente (98.0pts)**: El disco está siendo utilizado eficientemente al 8.0%. | **Estabilidad HDD Excelente (93.0pts)**: El uso del disco es muy estable. | **Cambios HDD Predecibles (99.0pts)**: Los cambios en el uso del disco son muy predecibles.,Mantener estándares actuales,2025-07-14 15:05:19,3
97,[],"['D:', 'C:', 'avg', 'H:', 'E:', 'F:', 'G:']",0,56,[],93.80000000000001,Excelente,**Uso HDD Excelente (94.0pts)**: El disco está siendo utilizado eficientemente al 12.6%. | **Estabilidad HDD Excelente (98.0pts)**: El uso del disco es muy estable. | **Cambios HDD Predecibles (85.0pts)**: Los cambios en el uso del disco son muy predecibles.,Mantener estándares actuales,2025-07-14 15:05:19,4
190,[],"['D:', 'avg', 'C:', 'E:', 'G:']",0,40,[],92.80000000000001,Excelente,**Uso HDD Excelente (97.0pts)**: El disco está siendo utilizado eficientemente al 8.3%. | **Estabilidad HDD Excelente (96.0pts)**: El uso del disco es muy estable. | **Cambios HDD Estables (78.0pts)**: Los cambios en el uso del disco son relativamente estables.,Mantener estándares actuales,2025-07-14 15:05:19,5
6,[],"['D:', 'avg', 'C:', 'E:', 'G:']",0,40,[],89.8,Muy Bueno,**Uso HDD Excelente (86.0pts)**: El disco está siendo utilizado eficientemente al 22.3%. | **Estabilidad HDD Excelente (94.0pts)**: El uso del disco es muy estable. | **Cambios HDD Predecibles (89.0pts)**: Los cambios en el uso del disco son muy predecibles.,Mantener estándares actuales,2025-07-14 15:05:19,6
179,"['CPLOAD', 'IOLOAD', 'MAXMEM', 'OMLDAV', 'TLCONS', 'PP_NFD', 'OMOVRN', 'totmem', 'CUMOVR']",[],72,0,[],89.28606822946445,Muy Bueno,"**Carga del procesador Excelente (85.5pts)**: El equipo mantiene una carga de 14.0 en CPLOAD, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Carga del procesador Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Carga de entrada/salida Buena (60.0pts)**: Con una carga de 10.6 en IOLOAD, el equipo tiene un rendimiento aceptable, aunque hay margen para optimización. | **Estabilidad en Carga de entrada/salida Excelente (92.7pts)**: El equipo muestra una variabilidad muy baja (119.9), indicando un funcionamiento muy estable. | **Memoria máxima utilizada Excelente (96.4pts)**: El equipo mantiene una carga de 64000.0 en MAXMEM, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Memoria máxima utilizada Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Carga promedio de memoria Excelente (100.0pts)**: El equipo mantiene una carga de 0.1 en OMLDAV, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Carga promedio de memoria Excelente (90.9pts)**: El equipo muestra una variabilidad muy baja (161.4), indicando un funcionamiento muy estable. | **Tiempo de respuesta de consola Excelente (85.5pts)**: El equipo mantiene una carga de 16.9 en TLCONS, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Tiempo de respuesta de consola Buena (78.2pts)**: La variabilidad de 330.7 indica un funcionamiento estable con algunas fluctuaciones menores. | **Archivos no encontrados Excelente (100.0pts)**: El equipo mantiene una carga de 0.0 en PP_NFD, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Archivos no encontrados Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Overhead de memoria Excelente (100.0pts)**: El equipo mantiene una carga de 0.0 en OMOVRN, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Overhead de memoria Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Memoria total utilizada Excelente (96.2pts)**: El equipo mantiene una carga de 0.2 en totmem, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Memoria total utilizada Excelente (92.5pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Sobrecarga acumulativa Excelente (100.0pts)**: El equipo mantiene una carga de 0.0 en CUMOVR, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Sobrecarga acumulativa Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable.",Mantener estándares actuales,2025-07-14 15:05:19,7
163,[],"['D:', 'C:', 'avg', 'E:', 'F:', 'G:']",0,48,[],88.0,Muy Bueno,**Uso HDD Excelente (80.0pts)**: El disco está siendo utilizado eficientemente al 26.1%. | **Estabilidad HDD Excelente (95.0pts)**: El uso del disco es muy estable. | **Cambios HDD Predecibles (90.0pts)**: Los cambios en el uso del disco son muy predecibles.,Mantener estándares actuales,2025-07-14 15:05:19,8
189,[],"['D:', 'avg', 'C:', 'E:', 'F:']",0,40,[],87.60000000000001,Muy Bueno,**Uso HDD Excelente (96.0pts)**: El disco está siendo utilizado eficientemente al 8.7%. | **Estabilidad HDD Excelente (88.0pts)**: El uso del disco es muy estable. | **Cambios HDD Estables (70.0pts)**: Los cambios en el uso del disco son relativamente estables.,Mantener estándares actuales,2025-07-14 15:05:19,9
84,"['CPLOAD', 'IOLOAD', 'MAXMEM', 'OMLDAV', 'TLCONS', 'PP_NFD', 'OMOVRN', 'totmem', 'CUMOVR']",[],65,0,[],87.1659996188298,Muy Bueno,"**Carga del procesador Excelente (92.7pts)**: El equipo mantiene una carga de 12.5 en CPLOAD, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Carga del procesador Excelente (87.3pts)**: El equipo muestra una variabilidad muy baja (96.8), indicando un funcionamiento muy estable. | **Carga de entrada/salida Buena (74.5pts)**: Con una carga de 9.1 en IOLOAD, el equipo tiene un rendimiento aceptable, aunque hay margen para optimización. | **Estabilidad en Carga de entrada/salida Crítica (16.4pts)**: La alta variabilidad de 464.2 indica problemas graves de estabilidad que requieren intervención. | **Memoria máxima utilizada Excelente (96.4pts)**: El equipo mantiene una carga de 64000.0 en MAXMEM, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Memoria máxima utilizada Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Carga promedio de memoria Excelente (98.2pts)**: El equipo mantiene una carga de 0.5 en OMLDAV, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Carga promedio de memoria Excelente (87.3pts)**: El equipo muestra una variabilidad muy baja (165.0), indicando un funcionamiento muy estable. | **Tiempo de respuesta de consola Excelente (100.0pts)**: El equipo mantiene una carga de 8.0 en TLCONS, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Tiempo de respuesta de consola Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Archivos no encontrados Excelente (100.0pts)**: El equipo mantiene una carga de 0.0 en PP_NFD, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Archivos no encontrados Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Overhead de memoria Excelente (100.0pts)**: El equipo mantiene una carga de 0.0 en OMOVRN, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Overhead de memoria Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Memoria total utilizada Excelente (86.8pts)**: El equipo mantiene una carga de 0.5 en totmem, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Memoria total utilizada Excelente (98.1pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable. | **Sobrecarga acumulativa Excelente (100.0pts)**: El equipo mantiene una carga de 0.0 en CUMOVR, lo que indica un rendimiento excepcional. Esto significa que el sistema está funcionando de manera muy eficiente en esta área. | **Estabilidad en Sobrecarga acumulativa Excelente (100.0pts)**: El equipo muestra una variabilidad muy baja (0.0), indicando un funcionamiento muy estable.",Intervención inmediata en en,2025-07-14 15:05:19,10
